DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1019,Lamivudine,DDInter1123,Mannitol,Moderate
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter246,Budesonide,Moderate
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter1961,Zidovudine,DDInter900,Ibuprofen,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter246,Budesonide,Moderate
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter343,Cetirizine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter362,Chlorpheniramine,Moderate
DDInter429,Codeine,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter722,Fentanyl,DDInter569,Diphenhydramine,Moderate
DDInter722,Fentanyl,DDInter1053,Levocetirizine,Moderate
DDInter722,Fentanyl,DDInter1533,Promethazine,Moderate
DDInter722,Fentanyl,DDInter45,Alimemazine,Moderate
DDInter11,Acarbose,DDInter1632,Salbutamol,Moderate
DDInter11,Acarbose,DDInter195,Betamethasone,Moderate
DDInter11,Acarbose,DDInter513,Dexamethasone,Moderate
DDInter11,Acarbose,DDInter650,Ephedrine,Moderate
DDInter11,Acarbose,DDInter652,Epinephrine,Moderate
DDInter11,Acarbose,DDInter776,Formoterol,Moderate
DDInter11,Acarbose,DDInter885,Hydrocortisone,Moderate
DDInter11,Acarbose,DDInter1277,Neomycin,Moderate
DDInter11,Acarbose,DDInter1453,Phenylephrine,Moderate
DDInter11,Acarbose,DDInter1513,Prednisolone,Moderate
DDInter11,Acarbose,DDInter1533,Promethazine,Moderate
DDInter11,Acarbose,DDInter1635,Salmeterol,Moderate
DDInter11,Acarbose,DDInter1769,Terbutaline,Moderate
DDInter11,Acarbose,DDInter45,Alimemazine,Moderate
DDInter1066,Lidocaine,DDInter76,Amiodarone,Moderate
DDInter1066,Lidocaine,DDInter130,Atenolol,Moderate
DDInter1066,Lidocaine,DDInter216,Bisoprolol,Moderate
DDInter1066,Lidocaine,DDInter305,Carvedilol,Moderate
DDInter1066,Lidocaine,DDInter482,Darunavir,Moderate
DDInter1066,Lidocaine,DDInter534,Diazepam,Moderate
DDInter1066,Lidocaine,DDInter561,Diltiazem,Moderate
DDInter1066,Lidocaine,DDInter995,Itraconazole,Moderate
DDInter1200,Metoprolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1212,Midazolam,Moderate
DDInter1066,Lidocaine,DDInter1271,Nebivolol,Moderate
DDInter1323,Octreotide,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1539,Propranolol,Moderate
DDInter1066,Lidocaine,DDInter1607,Ritonavir,Moderate
DDInter1066,Lidocaine,DDInter1809,Timolol,Moderate
DDInter1453,Phenylephrine,DDInter1632,Salbutamol,Moderate
DDInter78,Amitriptyline,DDInter1453,Phenylephrine,Major
DDInter130,Atenolol,DDInter1453,Phenylephrine,Moderate
DDInter136,Atropine,DDInter362,Chlorpheniramine,Moderate
DDInter162,Baclofen,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter216,Bisoprolol,Moderate
DDInter293,Carbamazepine,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter305,Carvedilol,Moderate
DDInter343,Cetirizine,DDInter362,Chlorpheniramine,Moderate
DDInter363,Chlorpromazine,DDInter362,Chlorpheniramine,Moderate
DDInter429,Codeine,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter474,Dapagliflozin,Moderate
DDInter527,Dextromethorphan,DDInter362,Chlorpheniramine,Moderate
DDInter534,Diazepam,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter554,Digoxin,Moderate
DDInter557,Dihydroergotamine,DDInter1453,Phenylephrine,Major
DDInter569,Diphenhydramine,DDInter362,Chlorpheniramine,Moderate
DDInter758,Fluoxetine,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter776,Formoterol,Moderate
DDInter791,Gabapentin,DDInter362,Chlorpheniramine,Moderate
DDInter825,Glimepiride,DDInter1453,Phenylephrine,Moderate
DDInter1453,Phenylephrine,DDInter826,Glipizide,Moderate
DDInter853,Haloperidol,DDInter362,Chlorpheniramine,Moderate
DDInter970,Ipratropium,DDInter362,Chlorpheniramine,Moderate
DDInter362,Chlorpheniramine,DDInter1007,Ketamine,Moderate
DDInter362,Chlorpheniramine,DDInter1046,Levetiracetam,Moderate
DDInter362,Chlorpheniramine,DDInter1053,Levocetirizine,Moderate
DDInter1453,Phenylephrine,DDInter1054,Levodopa,Moderate
DDInter1453,Phenylephrine,DDInter1070,Linagliptin,Moderate
DDInter1453,Phenylephrine,DDInter1073,Linezolid,Major
DDInter1088,Loperamide,DDInter362,Chlorpheniramine,Moderate
DDInter1164,Metformin,DDInter1453,Phenylephrine,Moderate
DDInter1172,Methocarbamol,DDInter362,Chlorpheniramine,Moderate
DDInter1185,Methyldopa,DDInter362,Chlorpheniramine,Moderate
DDInter1187,Methylergometrine,DDInter1453,Phenylephrine,Major
DDInter362,Chlorpheniramine,DDInter1197,Metoclopramide,Moderate
DDInter1200,Metoprolol,DDInter1453,Phenylephrine,Moderate
DDInter1212,Midazolam,DDInter362,Chlorpheniramine,Moderate
DDInter1244,Morphine,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter1271,Nebivolol,Moderate
DDInter1326,Olanzapine,DDInter362,Chlorpheniramine,Moderate
DDInter1375,Oxytocin,DDInter1453,Phenylephrine,Moderate
DDInter362,Chlorpheniramine,DDInter1442,Phenobarbital,Moderate
DDInter1460,Phenytoin,DDInter362,Chlorpheniramine,Moderate
DDInter1505,Pramipexole,DDInter362,Chlorpheniramine,Moderate
DDInter1516,Pregabalin,DDInter362,Chlorpheniramine,Moderate
DDInter1533,Promethazine,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter1539,Propranolol,Moderate
DDInter1605,Risperidone,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter1635,Salmeterol,Moderate
DDInter1453,Phenylephrine,DDInter1679,Sitagliptin,Moderate
DDInter1453,Phenylephrine,DDInter1769,Terbutaline,Moderate
DDInter1809,Timolol,DDInter1453,Phenylephrine,Moderate
DDInter1821,Tizanidine,DDInter362,Chlorpheniramine,Moderate
DDInter1834,Topiramate,DDInter362,Chlorpheniramine,Major
DDInter1870,Trihexyphenidyl,DDInter1453,Phenylephrine,Moderate
DDInter362,Chlorpheniramine,DDInter45,Alimemazine,Moderate
DDInter527,Dextromethorphan,DDInter76,Amiodarone,Moderate
DDInter557,Dihydroergotamine,DDInter527,Dextromethorphan,Major
DDInter758,Fluoxetine,DDInter527,Dextromethorphan,Major
DDInter527,Dextromethorphan,DDInter1342,Ondansetron,Major
DDInter263,Caffeine,DDInter384,Ciprofloxacin,Moderate
DDInter263,Caffeine,DDInter1821,Tizanidine,Major
DDInter429,Codeine,DDInter44,Alfuzosin,Moderate
DDInter429,Codeine,DDInter76,Amiodarone,Moderate
DDInter429,Codeine,DDInter78,Amitriptyline,Moderate
DDInter429,Codeine,DDInter79,Amlodipine,Moderate
DDInter429,Codeine,DDInter130,Atenolol,Moderate
DDInter429,Codeine,DDInter136,Atropine,Moderate
DDInter162,Baclofen,DDInter429,Codeine,Major
DDInter429,Codeine,DDInter216,Bisoprolol,Moderate
DDInter429,Codeine,DDInter292,Captopril,Moderate
DDInter429,Codeine,DDInter305,Carvedilol,Moderate
DDInter429,Codeine,DDInter336,Celecoxib,Moderate
DDInter429,Codeine,DDInter343,Cetirizine,Moderate
DDInter429,Codeine,DDInter363,Chlorpromazine,Major
DDInter429,Codeine,DDInter413,Clopidogrel,Moderate
DDInter429,Codeine,DDInter513,Dexamethasone,Moderate
DDInter429,Codeine,DDInter527,Dextromethorphan,Moderate
DDInter429,Codeine,DDInter534,Diazepam,Major
DDInter429,Codeine,DDInter561,Diltiazem,Moderate
DDInter429,Codeine,DDInter569,Diphenhydramine,Moderate
DDInter429,Codeine,DDInter638,Enalapril,Moderate
DDInter429,Codeine,DDInter716,Felodipine,Moderate
DDInter429,Codeine,DDInter758,Fluoxetine,Moderate
DDInter429,Codeine,DDInter790,Furosemide,Moderate
DDInter429,Codeine,DDInter791,Gabapentin,Major
DDInter429,Codeine,DDInter853,Haloperidol,Major
DDInter429,Codeine,DDInter883,Hydrochlorothiazide,Moderate
DDInter429,Codeine,DDInter916,Indapamide,Moderate
DDInter429,Codeine,DDInter972,Irbesartan,Moderate
DDInter429,Codeine,DDInter989,Isosorbide dinitrate,Moderate
DDInter429,Codeine,DDInter990,Isosorbide mononitrate,Moderate
DDInter429,Codeine,DDInter1007,Ketamine,Moderate
DDInter429,Codeine,DDInter1046,Levetiracetam,Moderate
DDInter429,Codeine,DDInter1053,Levocetirizine,Moderate
DDInter429,Codeine,DDInter1073,Linezolid,Major
DDInter429,Codeine,DDInter1079,Lisinopril,Moderate
DDInter429,Codeine,DDInter1088,Loperamide,Moderate
DDInter429,Codeine,DDInter1095,Losartan,Moderate
DDInter429,Codeine,DDInter1172,Methocarbamol,Major
DDInter429,Codeine,DDInter1197,Metoclopramide,Moderate
DDInter1200,Metoprolol,DDInter429,Codeine,Moderate
DDInter429,Codeine,DDInter1212,Midazolam,Moderate
DDInter1244,Morphine,DDInter429,Codeine,Major
DDInter429,Codeine,DDInter1262,Naloxone,Moderate
DDInter429,Codeine,DDInter1271,Nebivolol,Moderate
DDInter429,Codeine,DDInter1287,Nicardipine,Moderate
DDInter429,Codeine,DDInter1291,Nifedipine,Moderate
DDInter429,Codeine,DDInter1295,Nimodipine,Moderate
DDInter429,Codeine,DDInter1304,Nitroglycerin,Moderate
DDInter429,Codeine,DDInter1326,Olanzapine,Major
DDInter429,Codeine,DDInter1342,Ondansetron,Moderate
DDInter429,Codeine,DDInter1431,Perindopril,Moderate
DDInter429,Codeine,DDInter1442,Phenobarbital,Major
DDInter1460,Phenytoin,DDInter429,Codeine,Moderate
DDInter429,Codeine,DDInter1505,Pramipexole,Moderate
DDInter1516,Pregabalin,DDInter429,Codeine,Major
DDInter429,Codeine,DDInter1533,Promethazine,Moderate
DDInter429,Codeine,DDInter1538,Propofol,Moderate
DDInter429,Codeine,DDInter1539,Propranolol,Moderate
DDInter429,Codeine,DDInter1590,Rifampicin,Moderate
DDInter429,Codeine,DDInter1605,Risperidone,Major
DDInter429,Codeine,DDInter1607,Ritonavir,Moderate
DDInter429,Codeine,DDInter1664,Sevoflurane,Moderate
DDInter429,Codeine,DDInter1707,Spironolactone,Moderate
DDInter429,Codeine,DDInter1745,Tamsulosin,Moderate
DDInter429,Codeine,DDInter1759,Telmisartan,Moderate
DDInter429,Codeine,DDInter1802,Ticagrelor,Moderate
DDInter429,Codeine,DDInter1809,Timolol,Moderate
DDInter429,Codeine,DDInter1821,Tizanidine,Major
DDInter1834,Topiramate,DDInter429,Codeine,Moderate
DDInter429,Codeine,DDInter1870,Trihexyphenidyl,Moderate
DDInter429,Codeine,DDInter45,Alimemazine,Moderate
DDInter1915,Valsartan,DDInter429,Codeine,Moderate
DDInter15,Acetazolamide,DDInter1632,Salbutamol,Moderate
DDInter195,Betamethasone,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter513,Dexamethasone,Moderate
